fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_datetime
33,service,cartservice,container network packet retransmission,1647794245,1647794785,540,2022-03-21 00:37:25
34,pod,cartservice-0,container network packet retransmission,1647796005,1647796545,540,2022-03-21 01:06:45
35,pod,productcatalogservice-2,container read I/O load,1647796830,1647797370,540,2022-03-21 01:20:30
36,node,node-5,node disk read I/O consumption,1647798275,1647798815,540,2022-03-21 01:44:35
37,node,node-5,node disk write I/O consumption,1647800098,1647800638,540,2022-03-21 02:14:58
38,service,recommendationservice,container process termination,1647800799,1647801339,540,2022-03-21 02:26:39
39,service,checkoutservice,container network packet corruption,1647803448,1647803988,540,2022-03-21 03:10:48
40,node,node-6,node disk write I/O consumption,1647805154,1647805694,540,2022-03-21 03:39:14
41,service,cartservice,container network packet retransmission,1647808364,1647808904,540,2022-03-21 04:32:44
42,node,node-4,node memory consumption,1647810949,1647811489,540,2022-03-21 05:15:49
43,pod,shippingservice2-0,container network packet corruption,1647812163,1647812703,540,2022-03-21 05:36:03
44,pod,adservice2-0,container read I/O load,1647818816,1647819356,540,2022-03-21 07:26:56
45,node,node-6,node disk read I/O consumption,1647819971,1647820511,540,2022-03-21 07:46:11
46,pod,productcatalogservice-0,container CPU load,1647820502,1647821042,540,2022-03-21 07:55:02
47,pod,shippingservice-1,container CPU load,1647821967,1647822507,540,2022-03-21 08:19:27
48,node,node-1,node CPU load,1647823965,1647824505,540,2022-03-21 08:52:45
49,service,productcatalogservice,container CPU load,1647824785,1647825325,540,2022-03-21 09:06:25
50,service,checkoutservice,container memory load,1647825990,1647826530,540,2022-03-21 09:26:30
51,service,shippingservice,container read I/O load,1647827637,1647828177,540,2022-03-21 09:53:57
52,node,node-6,node CPU spike,1647828908,1647829448,540,2022-03-21 10:15:08
53,node,node-4,node disk space consumption,1647830276,1647830816,540,2022-03-21 10:37:56
54,node,node-6,node memory consumption,1647830692,1647831232,540,2022-03-21 10:44:52
55,service,frontend,container memory load,1647834030,1647834570,540,2022-03-21 11:40:30
56,service,productcatalogservice,container network latency,1647836321,1647836861,540,2022-03-21 12:18:41
57,service,currencyservice,container memory load,1647841146,1647841686,540,2022-03-21 13:39:06
58,service,emailservice,container read I/O load,1647842901,1647843441,540,2022-03-21 14:08:21
59,service,emailservice,container write I/O load,1647843413,1647843953,540,2022-03-21 14:16:53
60,service,adservice,container read I/O load,1647845943,1647846483,540,2022-03-21 14:59:03
61,pod,frontend2-0,container network packet corruption,1647846519,1647847059,540,2022-03-21 15:08:39
62,service,cartservice,container packet loss,1647848731,1647849271,540,2022-03-21 15:45:31
63,pod,frontend-2,container read I/O load,1647850299,1647850839,540,2022-03-21 16:11:39
64,node,node-5,node disk space consumption,1647852107,1647852647,540,2022-03-21 16:41:47
65,node,node-3,node disk space consumption,1647865567,1647866107,540,2022-03-21 20:26:07
66,node,node-2,node memory consumption,1647870740,1647871280,540,2022-03-21 21:52:20
67,node,node-5,node disk write I/O consumption,1647871982,1647872522,540,2022-03-21 22:13:02
68,node,node-4,node disk space consumption,1647875729,1647876269,540,2022-03-21 23:15:29
69,node,node-4,node CPU load,1647877392,1647877932,540,2022-03-21 23:43:12
