fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_datetime
64,service,paymentservice,container process termination,1647847185,1647847725,540,2022-03-21 15:19:45
65,node,node-1,node disk space consumption,1647852410,1647852950,540,2022-03-21 16:46:50
66,service,checkoutservice,container network packet corruption,1647857282,1647857822,540,2022-03-21 18:08:02
67,service,adservice,container packet loss,1647858555,1647859095,540,2022-03-21 18:29:15
68,node,node-6,node memory consumption,1647859493,1647860033,540,2022-03-21 18:44:53
69,service,shippingservice,container memory load,1647861002,1647861542,540,2022-03-21 19:10:02
70,service,paymentservice,container CPU load,1647862375,1647862915,540,2022-03-21 19:32:55
71,pod,checkoutservice-2,container network packet corruption,1647864210,1647864750,540,2022-03-21 20:03:30
72,node,node-2,node memory consumption,1647866059,1647866599,540,2022-03-21 20:34:19
73,node,node-6,node disk space consumption,1647868134,1647868674,540,2022-03-21 21:08:54
74,pod,frontend-2,container read I/O load,1647869511,1647870051,540,2022-03-21 21:31:51
75,node,node-5,node memory consumption,1647870712,1647871252,540,2022-03-21 21:51:52
76,service,frontend,container network packet corruption,1647873906,1647874446,540,2022-03-21 22:45:06
77,pod,checkoutservice2-0,container CPU load,1647876814,1647877354,540,2022-03-21 23:33:34
